Atividade,Propriedade,Data,Descrição,Mês
Reunião da Equipe,No,1 de fevereiro de 2026,,Janeiro
Início da Revista - 1° Sem,No,1 de fevereiro de 2026,,Fevereiro
Retiro,No,14 de fevereiro de 2026 → 17 de fevereiro de 2026,,Fevereiro
Aulas de Páscoa,No,22 de março de 2026 → 5 de abril de 2026,,"Abril, Março"
Palestra - Maio Laranja,No,16 de maio de 2026,,Maio
EBF,No,25 de julho de 2026,,Julho
Café da Manhã com a Equipe,No,29 de março de 2026,,Março
Café da Manhã com a Equipe,No,31 de maio de 2026,,Maio
Aulas de Férias,No,5 de julho de 2026 → 26 de julho de 2026,,Julho
Encerramento Revista - 1° Sem,No,28 de junho de 2026,,Junho
Início da Revista - 2° Sem,No,2 de agosto de 2026,,Agosto
Café da Manhã com a Equipe,No,27 de setembro de 2026,,Setembro
Café da Manhã com a Equipe,No,29 de novembro de 2026,,Novembro
Aulas de Advento/Natal,No,6 de dezembro de 2026 → 27 de dezembro de 2026,,Dezembro
Reunião de Pais,No,2 de agosto de 2026,,Agosto
Reunião de Equipe,No,8 de agosto de 2026,,Agosto
Encerramento Revista - 2° Sem,No,29 de novembro de 2026,,Novembro
